Nome;Link;Avaliacao;Parcelas;Preço Parcelado;Preço a Vista;Site;Data da Coleta;Quantidade de Avaliações
"Smartphone Moto G54 5G, 256GB, Tela 6.5"", Câmera Traseira 50MP+2MP, Verde, MOTOROLA MOTOROLA";https://www.magazineluiza.com.br/smartphone-moto-g54-5g-256gb-tela-6-5-camera-traseira-50mp-2mp-verde-motorola-motorola/p/fdea4f6cae/te/srmt/; ;R$ 1.364,48 em 10x de R$ 136,45 sem juros;1364,48;1364,48;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 5G XT-2343-1 256GB 8GB RAM Dual SIM Tela 6.5"" - Azul";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-xt-2343-1-256gb-8gb-ram-dual-sim-tela-6-5-azul/p/jk6de9g683/te/mg54/; ;R$ 1.895,30 em 10x de R$ 189,53 sem juros;1895,3;1611,01;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola G54 5G Dual SIM 256GB / 8GB RAM de 6.5"" 50 + 2MP / 16MP";https://www.magazineluiza.com.br/smartphone-motorola-g54-5g-dual-sim-256gb-8gb-ram-de-6-5-50-2mp-16mp/p/ec5hg7e2fa/te/srmt/; ;R$ 1.799,90 em 10x de R$ 179,99 sem juros;1799,9;1799,9;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 256GB Verde 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-verde-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/ahdab24442/te/srmt/; ;R$ 1.777,00 em 10x de R$ 177,70 sem juros;1777,0;1777,0;Magazine Luiza;23/11/2024 13:11:03;
Smartphone Moto G54 5G 256GB Câmera Dupla XT2343 Motorola;https://www.magazineluiza.com.br/smartphone-moto-g54-5g-256gb-camera-dupla-xt2343-motorola/p/ek5d5kb844/te/srmt/; ;R$ 1.373,30 em 10x de R$ 137,33 sem juros;1373,3;1373,3;Magazine Luiza;23/11/2024 13:11:03;
Motorola Moto G54 5G Tela FHD+ 6,5 120Hz 50MP OIS;https://www.magazineluiza.com.br/motorola-moto-g54-5g-tela-fhd-65-120hz-50mp-ois/p/dj2cb4jhkk/te/srmt/; ;R$ 1.806,05 em 10x de R$ 180,61 sem juros;1806,05;1589,32;Magazine Luiza;23/11/2024 13:11:03;
Motorola moto g54 5g 256gb/8gb ram dual tela 6.5 verde;https://www.magazineluiza.com.br/motorola-moto-g54-5g-256gb-8gb-ram-dual-tela-6-5-verde/p/kcea571afa/te/srmt/; ;R$ 1.567,00 em 12x de R$ 130,58 sem juros;1567,0;1567,0;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 256GB Verde 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-verde-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/cb10bba5d8/te/srmt/; ;R$ 1.589,00 em 10x de R$ 158,90 sem juros;1589,0;1398,32;Magazine Luiza;23/11/2024 13:11:03;
Celular Motorola G54 256GB de Memória 8GB Ram 5G Verde Vegan Leather Tela 6.5'' Bateria 5000 mAh;https://www.magazineluiza.com.br/celular-motorola-g54-256gb-de-memoria-8gb-ram-5g-verde-vegan-leather-tela-6-5-bateria-5000-mah/p/dh81a46b2e/te/srmt/; ;R$ 1.649,00 em 10x de R$ 164,90 sem juros;1649,0;1649,0;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 256GB Azul 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-azul-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/hd61h2f610/te/srmt/; ;R$ 1.530,00 em 10x de R$ 153,00 sem juros;1530,0;1377,0;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 5G 256GB 8GB RAM Tela 6,5"" Câmera Dupla 50MP+2MP Frontal 16MP Verde";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-256gb-8gb-ram-tela-65-camera-dupla-50mp-2mp-frontal-16mp-verde/p/ee384dgd81/te/mg54/;4.8 (61);R$ 1.705,00 em 10x de R$ 170,50 sem juros;1705,0;1568,6;Magazine Luiza;23/11/2024 13:11:03;
Motorola Moto G54 5G Tela FHD+ 6,5 120Hz 50MP OIS;https://www.magazineluiza.com.br/motorola-moto-g54-5g-tela-fhd-65-120hz-50mp-ois/p/jej5553g9a/te/srmt/; ;R$ 1.879,99 em 10x de R$ 188,00 sem juros;1879,99;1691,99;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 256GB Verde 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-verde-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/jb7b439f2b/te/srmt/; ;R$ 1.599,99 em 10x de R$ 160,00 sem juros;1599,99;1407,99;Magazine Luiza;23/11/2024 13:11:03;
Smartphone Motorola Moto G54 5G 256GB 8gb ram NFC XT2343;https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-256gb-8gb-ram-nfc-xt2343/p/hcj2e4a556/te/mg54/; ;R$ 1.699,90 em 10x de R$ 169,99 sem juros;1699,9;1529,91;Magazine Luiza;23/11/2024 13:11:03;
"Celular Smartphone Motorola Moto G54 5G NFC XT2343-1 256Gb 8Gb RAM Tela 6,5"" 50Mpx Azul Vegan Leather";https://www.magazineluiza.com.br/celular-smartphone-motorola-moto-g54-5g-nfc-xt2343-1-256gb-8gb-ram-tela-65-50mpx-azul-vegan-leather/p/fdadkeh2ah/te/srmt/; ;R$ 1.595,00 em 10x de R$ 159,50 sem juros;1595,0;1435,5;Magazine Luiza;23/11/2024 13:11:03;
"Celular Smartphone Motorola Moto G54 5G NFC XT2343-1 256Gb 8Gb RAM Tela 6,5"" 50Mpx Verde Vegan Leather";https://www.magazineluiza.com.br/celular-smartphone-motorola-moto-g54-5g-nfc-xt2343-1-256gb-8gb-ram-tela-65-50mpx-verde-vegan-leather/p/kdg0k5fg9c/te/srmt/; ;R$ 1.595,00 em 10x de R$ 159,50 sem juros;1595,0;1435,5;Magazine Luiza;23/11/2024 13:11:03;
Motorola Moto G54 5G Tela FHD+ 6,5 120Hz 50MP OIS;https://www.magazineluiza.com.br/motorola-moto-g54-5g-tela-fhd-65-120hz-50mp-ois/p/hh4c73f69f/te/srmt/; ;R$ 1.764,28 em 10x de R$ 176,43 sem juros;1764,28;1552,57;Magazine Luiza;23/11/2024 13:11:03;
Motorola Moto G54 5G Tela FHD+ 6,5 120Hz 50MP OIS;https://www.magazineluiza.com.br/motorola-moto-g54-5g-tela-fhd-65-120hz-50mp-ois/p/jh26269269/te/srmt/; ;R$ 1.830,08 em 10x de R$ 183,01 sem juros;1830,08;1610,47;Magazine Luiza;23/11/2024 13:11:03;
Celular Motorola Moto G54 5G 256GB - PAYS0052BR Azul Quadriband;https://www.magazineluiza.com.br/celular-motorola-moto-g54-5g-256gb-pays0052br-azul-quadriband-hyperx/p/kfebb9710a/te/srmt/; ;R$ 1.900,84 em 12x de R$ 158,40 sem juros;1900,84;1900,84;Magazine Luiza;23/11/2024 13:11:03;
Motorola Moto G54 5G 256GB - Tela FHD+ 6.5 - Câmera 50MP - Azul;https://www.magazineluiza.com.br/motorola-moto-g54-5g-256gb-tela-fhd-6-5-camera-50mp-azul-motorola-celular/p/aj947b16ja/te/srmt/; ;R$ 2.146,03 em 10x de R$ 214,60 sem juros;2146,03;1888,51;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone moto g54 5g azul 256gb/8gb/6.5""/50+2mp/8c 2.2ghz, MOTOROLA MOTOROLA";https://www.magazineluiza.com.br/smartphone-moto-g54-5g-azul-256gb-8gb-6-5-50-2mp-8c-2-2ghz-motorola-motorola/p/ag6jbd7k25/te/srmt/; ;R$ 1.364,48 em 10x de R$ 136,45 sem juros;1364,48;1364,48;Magazine Luiza;23/11/2024 13:11:03;
Smartphone Motorola Moto G54 5G 256GB 8GB RAM - Azul - Vegan Leather;https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-256gb-8gb-ram-azul-vegan-leather/p/akjf7f2465/te/mg54/; ;R$ 1.269,51 em 10x de R$ 126,95 sem juros;1269,51;1269,51;Magazine Luiza;23/11/2024 13:11:03;
Motorola Moto G54 5G Tela FHD+ 6,5 120Hz 50MP OIS;https://www.magazineluiza.com.br/motorola-moto-g54-5g-tela-fhd-65-120hz-50mp-ois/p/fg2b0ekb5a/te/srmt/; ;R$ 1.795,09 em 10x de R$ 179,51 sem juros;1795,09;1579,68;Magazine Luiza;23/11/2024 13:11:03;
Celular Motorola G54 256GB de Memória 8GB Ram 5G Verde Vegan Leather Tela 6.5'' Bateria 5000 mAh;https://www.magazineluiza.com.br/celular-motorola-g54-256gb-de-memoria-8gb-ram-5g-verde-vegan-leather-tela-6-5-bateria-5000-mah/p/jf8h8293e3/te/mg54/; ;R$ 1.649,00 em 10x de R$ 164,90 sem juros;1649,0;1649,0;Magazine Luiza;23/11/2024 13:11:03;
Smartphone Motorola Moto G54 5G 256GB, 8GB RAM, Tela de 6.5, Câmera Traseira Dupla;https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-256gb-8gb-ram-tela-de-6-5-camera-traseira-dupla/p/ad29j45ka0/te/mg54/; ;R$ 1.722,90 em 12x de R$ 143,58 sem juros;1722,9;1550,61;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 256GB Azul 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-azul-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/jg5c5k3hj2/te/mg54/; ;R$ 2.199,90 em 10x de R$ 219,99 sem juros;2199,9;2199,9;Magazine Luiza;23/11/2024 13:11:03;
Celular Smartphone Motorola G54 5G XT2343-1 256Gb RAM 8Gb;https://www.magazineluiza.com.br/celular-smartphone-motorola-g54-5g-xt2343-1-256gb-ram-8gb/p/bf986k6e1a/te/srmt/; ;R$ 1.598,00 em 10x de R$ 159,80 sem juros;1598,0;1438,2;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 256GB Verde 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-verde-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/hf7h6a64k1/te/srmt/; ;R$ 2.000,00 em 10x de R$ 200,00 sem juros;2000,0;2000,0;Magazine Luiza;23/11/2024 13:11:03;
Celular Smartphone Motorola G54 5G XT2343-1 256Gb RAM 8Gb;https://www.magazineluiza.com.br/celular-smartphone-motorola-g54-5g-xt2343-1-256gb-ram-8gb/p/eahae0dgb9/te/srmt/; ;R$ 1.607,00 em 10x de R$ 160,70 sem juros;1607,0;1446,3;Magazine Luiza;23/11/2024 13:11:03;
Motorola Moto G54 5G 256GB - Tela FHD+ 6.5 - Câmera 50MP - Azul;https://www.magazineluiza.com.br/motorola-moto-g54-5g-256gb-tela-fhd-6-5-camera-50mp-azul-motorola-celular/p/hd4aj7h9jj/te/srmt/; ;R$ 2.106,61 em 10x de R$ 210,66 sem juros;2106,61;1853,82;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 256GB Verde 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-verde-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/cc626edd70/te/mg54/; ;R$ 1.860,00 em 10x de R$ 186,00 sem juros;1860,0;1860,0;Magazine Luiza;23/11/2024 13:11:03;
Smartphone Motorola Moto G54 5G 6.5 Polegadas Octa Core 256GB 8GB RAM Câmera Dupla;https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-6-5-polegadas-octa-core-256gb-8gb-ram-camera-dupla/p/ch7gh4b668/te/srmt/;5.0 (14);R$ 2.316,90 em 10x de R$ 231,69 sem juros;2316,9;2038,87;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 256GB Grafite 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-grafite-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/gb5hf8abgg/te/mg54/; ;R$ 1.750,00 em 10x de R$ 175,00 sem juros;1750,0;1750,0;Magazine Luiza;23/11/2024 13:11:03;
Smartphone Motorola Moto G54, 6,5”, 256GB, 5G, Android 13, Azul;https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-65-256gb-5g-android-13-azul/p/jb99fd63j4/te/mg54/; ;R$ 1.738,88 em 10x de R$ 173,89 sem juros;1738,88;1738,88;Magazine Luiza;23/11/2024 13:11:03;
Celular Motorola Moto G54 5G 256GB - PAYS0053BR Verde Quadriband;https://www.magazineluiza.com.br/celular-motorola-moto-g54-5g-256gb-pays0053br-verde-quadriband/p/jce2ad677b/te/srmt/; ;R$ 2.346,14 em 12x de R$ 195,51 sem juros;2346,14;2346,14;Magazine Luiza;23/11/2024 13:11:03;
Celular Motorola Moto G54 5G 256GB - PAYS0053BR Verde Quadriband;https://www.magazineluiza.com.br/celular-motorola-moto-g54-5g-256gb-pays0053br-verde-quadriband/p/khf8acfca7/te/srmt/; ;R$ 2.349,64 em 12x de R$ 195,80 sem juros;2349,64;2349,64;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 256GB Azul 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-azul-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/df02f2883f/te/srmt/; ;R$ 1.599,99 em 10x de R$ 160,00 sem juros;1599,99;1471,99;Magazine Luiza;23/11/2024 13:11:03;
Smartphone motorola moto g54 5g 256gb tela 6.5 8gb ram azul;https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-256gb-tela-6-5-8gb-ram-azul/p/kb1bh0447h/te/srmt/; ;R$ 1.597,00 em 12x de R$ 133,08 sem juros;1597,0;1597,0;Magazine Luiza;23/11/2024 13:11:03;
Smartphone Motorola Moto G54 5G 8GB RAM 256GB Wi-Fi Bluetooth 6.5” FHD - Azul Vegan;https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-8gb-ram-256gb-wi-fi-bluetooth-6-5-fhd-azul-vegan/p/hh82686c14/te/srmt/; ;R$ 1.240,25 em 12x de R$ 103,35 sem juros;1240,25;1240,25;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 5G 6.5"" 256GB 8GB RAM - Verde";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-6-5-256gb-8gb-ram-verde/p/kjj82h4051/te/srmt/; ;R$ 1.670,58 em 12x de R$ 139,22 sem juros;1670,58;1503,52;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 256GB 5G Tela 6,5"" Câmera Dupla 50MP+2MP Azul";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-5g-tela-65-camera-dupla-50mp-2mp-azul/p/fj1a1j11ee/te/srmt/; ;R$ 1.349,90 em 10x de R$ 134,99 sem juros;1349,9;1349,9;Magazine Luiza;23/11/2024 13:11:03;
"Smartphone Motorola Moto G54 256GB Verde 5G 8GB RAM 6,5"" Câm. Dupla + Selfie 16MP Dual Chip";https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-256gb-verde-5g-8gb-ram-65-cam-dupla-selfie-16mp-dual-chip/p/gca8cg5j41/te/srmt/; ;R$ 1.399,00 em 12x de R$ 116,58 sem juros;1399,0;1399,0;Magazine Luiza;23/11/2024 13:11:03;
Smartphone Motorola Moto G54 5G 256GB 8gb ram NFC XT2343;https://www.magazineluiza.com.br/smartphone-motorola-moto-g54-5g-256gb-8gb-ram-nfc-xt2343/p/gb58hcj1gc/te/mg54/; ;R$ 1.699,90 em 10x de R$ 169,99 sem juros;1699,9;1699,9;Magazine Luiza;23/11/2024 13:11:03;
Smartphone Motorola Moto G54 5G 256 GB verde 8 GB RAM;https://www.mercadolivre.com.br/smartphone-motorola-moto-g54-5g-256-gb-verde-8-gb-ram/p/MLB34113230#polycard_client=search-nordic&wid=MLB3495868777&sid=search&searchVariation=MLB34113230&position=2&search_layout=stack&type=product&tracking_id=ffc0b468-61a8-489f-b742-232668b9c288;4.7 (29711);ou R$1.157 em 10x R$115,70 sem juros;1157,0;1041,0;Mercado Livre;23/11/2024 13:11:12;
Smartphone Motorola Moto G54 5G 256 GB Azul 8 GB RAM;https://www.mercadolivre.com.br/smartphone-motorola-moto-g54-5g-256-gb-azul-8-gb-ram/p/MLB34113229#polycard_client=search-nordic&wid=MLB3538415993&sid=search&searchVariation=MLB34113229&position=3&search_layout=stack&type=product&tracking_id=ffc0b468-61a8-489f-b742-232668b9c288;4.7 (29711);ou R$1.157 em 10x R$115,70 sem juros;1157,0;1041,0;Mercado Livre;23/11/2024 13:11:12;
Smartphone Motorola Moto G54 5G 256Gb 8Gb Ram Grafite;https://www.mercadolivre.com.br/smartphone-motorola-moto-g54-5g-256gb-8gb-ram-grafite/p/MLB30999969#polycard_client=search-nordic&wid=MLB5095407100&sid=search&searchVariation=MLB30999969&position=4&search_layout=stack&type=product&tracking_id=ffc0b468-61a8-489f-b742-232668b9c288;4.7 (29711);em 12x R$121,58;121,58;1254,0;Mercado Livre;23/11/2024 13:11:12;
 Moto G54 5G (eSIM) Dual SIM 256 GB grafite 12 GB RAM;https://www.mercadolivre.com.br/moto-g54-5g-esim-dual-sim-256-gb-grafite-12-gb-ram/p/MLB38345325#polycard_client=search-nordic&wid=MLB5110191432&sid=search&searchVariation=MLB38345325&position=7&search_layout=stack&type=product&tracking_id=ffc0b468-61a8-489f-b742-232668b9c288;4.7 (29711);em 12x R$162,88;162,88;1680,0;Mercado Livre;23/11/2024 13:11:12;
Motorola Moto G54 5g 256 Gb Azul 8 Gb Ram;https://www.mercadolivre.com.br/motorola-moto-g54-5g-256-gb-azul-8-gb-ram/p/MLB43500127#polycard_client=search-nordic&wid=MLB5188489332&sid=search&searchVariation=MLB43500127&position=6&search_layout=stack&type=product&tracking_id=ffc0b468-61a8-489f-b742-232668b9c288;4.7 (40);em 10x R$146 sem juros;146,0;1459,0;Mercado Livre;23/11/2024 13:11:12;
Celular Motorola Moto G54 5g 8gb 256gb 6,5 azul índigo Fhd+ 50 Mp Dolby Atmos;https://www.mercadolivre.com.br/celular-motorola-moto-g54-5g-8gb-256gb-65-azul-indigo-fhd-50-mp-dolby-atmos/p/MLB38345007#polycard_client=search-nordic&wid=MLB5024169940&sid=search&searchVariation=MLB38345007&position=5&search_layout=stack&type=product&tracking_id=ffc0b468-61a8-489f-b742-232668b9c288;4.8 (296);em 12x R$134,66;134,66;1389,0;Mercado Livre;23/11/2024 13:11:12;
Smartphone Motorola Moto G54 5g 256gb 8gb Ram 6.5 Azul-vegan;https://produto.mercadolivre.com.br/MLB-4145209936-smartphone-motorola-moto-g54-5g-256gb-8gb-ram-65-azul-vegan-_JM?searchVariation=180561436629#polycard_client=search-nordic&searchVariation=180561436629&position=8&search_layout=stack&type=item&tracking_id=ffc0b468-61a8-489f-b742-232668b9c288;4.8 (116);em 10x R$159,90 sem juros;159,9;1599,0;Mercado Livre;23/11/2024 13:11:12;
Motorola Moto G54 5g Dual 256b 8gb Ram Tela 6.5 - Outlet;https://produto.mercadolivre.com.br/MLB-4632003186-motorola-moto-g54-5g-dual-256b-8gb-ram-tela-65-outlet-_JM?searchVariation=180372023816#polycard_client=search-nordic&searchVariation=180372023816&position=9&search_layout=stack&type=item&tracking_id=ffc0b468-61a8-489f-b742-232668b9c288;5.0 (13);em 12x R$90,54;90,54;933,85;Mercado Livre;23/11/2024 13:11:12;
Motorola Moto G54 5G Dual SIM 256 GB Azul 8 GB RAM ;https://www.mercadolivre.com.br/motorola-moto-g54-5g-dual-sim-256-gb-azul-8-gb-ram/p/MLB27216433#polycard_client=search-nordic&wid=MLB3513855035&sid=search&searchVariation=MLB27216433&position=1&search_layout=stack&type=product&tracking_id=ffc0b468-61a8-489f-b742-232668b9c288;4.7 (29711);em 10x R$125,90 sem juros;125,9;1259,0;Mercado Livre;23/11/2024 13:11:12;
Celular Motorola G54 8ram Boost 256gb 5g Verde Vegan;https://produto.mercadolivre.com.br/MLB-5188504494-celular-motorola-g54-8ram-boost-256gb-5g-verde-vegan-_JM?searchVariation=182293334088#polycard_client=search-nordic&searchVariation=182293334088&position=10&search_layout=stack&type=item&tracking_id=ffc0b468-61a8-489f-b742-232668b9c288;0;em 10x R$146 sem juros;146,0;1459,0;Mercado Livre;23/11/2024 13:11:12;
Smartphone Motorola Moto G54 128gb 4gb Ram + Fone Tws Grátis;https://produto.mercadolivre.com.br/MLB-5162314332-smartphone-motorola-moto-g54-128gb-4gb-ram-fone-tws-gratis-_JM?searchVariation=182131771126#polycard_client=search-nordic&searchVariation=182131771126&position=11&search_layout=stack&type=item&tracking_id=ffc0b468-61a8-489f-b742-232668b9c288;0;em 10x R$129,90 sem juros;129,9;1299,0;Mercado Livre;23/11/2024 13:11:12;
